label	replace by
AGGEU MAGALHAES FIOCRUZ	Fiocruz
Aggeu Magalhaes Fiocruz, Recife PE, Brazil	Fiocruz
Aggeu Magalhaes Res Ctr CPqAM Fiocruz, Recife PE, Brazil	Fiocruz
AGGEU MAGALHAES RES CTR FIOCRUZ	Fiocruz
Aggeu Magalhaes Res Ctr FIOCRUZ, Recife PE, Brazil	Fiocruz
Aggeu Magalhaes Res Ctr, Recife PE, Brazil	Fiocruz
Aggeu Magalhaes, Recife PE, Brazil	Fiocruz
Ambiental Inst Oswaldo Cruz, Rio De Janeiro, Brazil	Fiocruz
AV BRASIL 4365	Fiocruz
Bio Manguinhos FIOCRUZ, Rio De Janeiro RJ, Brazil	Fiocruz
Bio Manguinhos Fiocruz, Rio De Janeiro, Brazil	Fiocruz
Bio Manguinhos, Rio De Janeiro, Brazil	Fiocruz
BIOMANGUINHOS FIOCRUZ	Fiocruz
Biomanguinhos Fiocruz, Rio De Janeiro RJ, Brazil	Fiocruz
Biomanguinhos Fiocruz, Rio De Janeiro, Brazil	Fiocruz
BioManguinhos FIOCRUZ, Salvador BA, Brazil	Fiocruz
Biomanguinhos, Rio De Janeiro RJ, Brazil	Fiocruz
Biomanguinhos, Rio De Janeiro, Brazil	Fiocruz
Biomanguinlios Fiocruz, Rio De Janeiro, Brazil	Fiocruz
Brasilia Fund Oswaldo Cruz SEPN, Brasilia DF, Brazil	Fiocruz
C P AGGEU MAGALHAES FIOCRUZ	Fiocruz
C P AGGEU MAGALHAES FIOCRUZ, RECIFE PE, BRAZIL	Fiocruz
CARRAPATOS LAB ACAROL, RIO JANEIRO, BRAZIL	Fiocruz
Casa Oswaldo Cruz Fiocruz, Rio De Janeiro, Brazil	Fiocruz
Casa Oswaldo Cruz Fund Oswaldo Cruz, Rio De Janeiro, Brazil	Fiocruz
CASA OSWALDO CRUZ FUNDACAO OSWALDO CRUZ	Fiocruz
Casa Oswaldo Cruz, Rio De Janeiro, Brazil	Fiocruz
CCPQRR FIOCRUZ, Belo Horizonte MG, Brazil	Fiocruz
CENTR PESQUISAS RENE RACHOU	Fiocruz
CENTR PESQUISAS RENE RACHOU, BELO HORIZONTE MG, BRAZIL	Fiocruz
Centro de Criação de Animais de Laboratório – CECAL, BRAZIL	Fiocruz
